#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
H=100,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=300,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=72
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=166,spo=69
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=68,spo=14
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=250,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=136,spo=3
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=150,spo=89
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=107,spo=98
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=39,spo=5
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=136,spo=81
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=166,spo=12
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=107,spo=39
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=115,spo=15
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=166,spo=-999
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=27,spo=15
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=57,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=115,spo=-999
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=125,spo=3
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,sp-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=-999,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=136,spo=87
H=136,spo=87
H=13spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=136,spo=87
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,sp=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=71,spo=53
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=136,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=37,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=187,spo=-999
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=166,spo=2
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=150,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=99
H=125,spo=-999
H=125,spo=-999
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=83,spo=100
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=166,spo=70
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=125,spo=-999
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=88,spo=70
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=53,spo=-999
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=68,spo=16
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=42,spo=45
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=88,spo=46
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=83,spo=68
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
H=53,spo=66
